"","AGEP","RACAIAN","RACASN","RACBLK","RACSOR","RACWHT","ESR_label","SCHL_label","WAGP","YOEP","CITWP","years_to_nat"
"1",48,"0","0","0","1","0","Not in labor force","No schooling completed",0,1985,2000,15
"2",68,"0","0","0","0","1","Not in labor force","Some college, but less than 1 year",0,1959,1969,10
"3",74,"0","0","0","1","0","Not in labor force","Grade 11",0,1969,1973,4
"4",85,"0","1","0","0","0","Not in labor force","Grade 3",0,1930,1993,63
"5",71,"0","0","0","1","0","Not in labor force","Regular high school diploma",0,1969,1975,6
"6",65,"0","1","0","0","0","Not in labor force","No schooling completed",0,1995,2015,20
"7",54,"0","1","0","0","0","Civilian employed, at work","Associate's degree",20000,1987,2005,18
"8",61,"0","0","0","1","0","Not in labor force","No schooling completed",0,1962,1993,31
"9",84,"1","0","0","0","0","Not in labor force","Grade 9",0,1964,2004,40
"10",85,"0","0","0","1","0","Not in labor force","No schooling completed",0,1963,2012,49
"11",62,"0","0","0","0","1","Not in labor force","1 or more years of college credit, no degree",0,1960,1961,1
"12",65,"0","0","0","0","1","Not in labor force","GED or alternative credential",0,1960,2010,50
"13",23,"0","0","0","1","0","Not in labor force","Grade 11",10000,2003,2010,7
"14",87,"0","0","0","1","0","Not in labor force","1 or more years of college credit, no degree",0,1955,2009,54
"15",59,"0","1","0","0","0","Not in labor force","Master's degree",0,1997,2018,21
"16",73,"0","1","0","0","0","Not in labor force","1 or more years of college credit, no degree",0,1975,1982,7
"17",65,"0","1","0","0","0","Civilian employed, at work","Regular high school diploma",60000,2003,2008,5
"18",54,"0","0","0","0","1","Not in labor force","Grade 9",0,1985,2014,29
"19",77,"0","0","0","0","1","Not in labor force","Master's degree",0,1962,1975,13
"20",84,"1","0","0","0","0","Not in labor force","Grade 9",0,1964,2004,40
"21",33,"0","1","0","0","0","Civilian employed, at work","1 or more years of college credit, no degree",45000,1992,2010,18
"22",40,"0","0","0","0","1","Not in labor force","Grade 9",3800,2000,2017,17
"23",42,"0","0","0","0","1","Not in labor force","12th grade - no diploma",0,1989,2000,11
"24",40,"0","0","0","0","1","Not in labor force","Grade 9",3800,2000,2017,17
"25",51,"0","0","0","0","1","Not in labor force","Regular high school diploma",0,1991,2005,14
"26",82,"0","0","0","0","1","Not in labor force","Grade 7",0,1963,2012,49
"27",31,"0","0","1","0","0","Not in labor force","Regular high school diploma",13000,2009,2010,1
"28",94,"0","0","0","0","1","Not in labor force","Grade 10",0,1965,1973,8
"29",94,"0","0","0","1","0","Not in labor force","Grade 6",0,1974,1996,22
"30",73,"0","0","0","0","0","Not in labor force","Grade 10",0,1975,1994,19
"31",40,"0","0","1","0","0","Civilian employed, at work","1 or more years of college credit, no degree",800,1996,2001,5
"32",85,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1983,1993,10
"33",65,"0","1","0","0","0","Not in labor force","Grade 6",0,1984,2008,24
